Model;Instance;element;Name;Start Waiting;Start;End;Waiting Time;Process Time;Fixed Cost;Variable Cost;Resources;GetStores;PutStores
Credit Application Credit Officer;instance1350;activity;Assess application;27011.86968842268;27011.86968842268;27032.54406394389;0.0;20.674375521208475;5;20.674375521208475;Credit Officer;;
Credit Application Clerk;instance1352;START;Credit application received;27039.62484275665;27039.62484275665;27039.62484275665;0.0;0.0;0;0;;;
Credit Application Clerk;instance1351;activity;Send e-mail to customer;27031.262097193794;27031.262097193794;27041.675904876873;0.0;10.413807683079828;5;5.206903841539914;Clerk;;
Credit Application Clerk;instance1351;END;Customer notified;27041.675904876873;27041.675904876873;27041.675904876873;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1350;activity;Make credit offer;27032.54406394389;27032.54406394389;27045.900219556315;0.0;13.356155612424942;5;13.356155612424942;Credit Officer;;
Credit Application Credit Officer;instance1350;END;Credit application processed;27045.900219556315;27045.900219556315;27045.900219556315;0.0;0.0;0;0;;;
Credit Application Clerk;instance1352;activity;Check credit history;27039.62484275665;27039.62484275665;27047.449943620762;0.0;7.825100864112354;5;3.912550432056177;Clerk;;
Credit Application Credit Officer;instance1351;activity;Assess application;27031.262097193794;27031.262097193794;27051.67585982083;0.0;20.413762627034618;5;20.413762627034618;Credit Officer;;
Credit Application Clerk;instance1352;activity;Check income sources;27039.62484275665;27039.62484275665;27058.06883186898;0.0;18.44398911233049;5;9.221994556165246;Clerk;;
Credit Application Clerk;instance1352;intermediate;Credit Application checked;27058.06883186898;27058.06883186898;27058.06883186898;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1352;START;Credit application received;27058.06883186898;27058.06883186898;27058.06883186898;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance1353;START;Credit application received;27059.546090371106;27059.546090371106;27059.546090371106;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1351;activity;Make credit offer;27051.67585982083;27051.67585982083;27063.345788159353;0.0;11.66992833852379;5;11.66992833852379;Credit Officer;;
Credit Application Credit Officer;instance1351;END;Credit application processed;27063.345788159353;27063.345788159353;27063.345788159353;0.0;0.0;0;0;;;
Credit Application Clerk;instance1353;activity;Check income sources;27059.546090371106;27059.546090371106;27069.68937012772;0.0;10.143279756612975;5;5.071639878306487;Clerk;;
Credit Application Clerk;instance1353;activity;Check credit history;27059.546090371106;27059.546090371106;27069.996569047824;0.0;10.450478676718294;5;5.225239338359147;Clerk;;
Credit Application Clerk;instance1353;intermediate;Credit Application checked;27069.996569047824;27069.996569047824;27069.996569047824;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1353;START;Credit application received;27069.996569047824;27069.996569047824;27069.996569047824;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance1352;activity;Send e-mail to customer;27058.06883186898;27058.06883186898;27070.7604330597;0.0;12.691601190720183;5;6.345800595360092;Clerk;;
